statement_id,company,theme_true,statement_text
32,Trailhead Outdoors,philanthropy,Trailhead Outdoors donated over one million dollars to community environmental education programs this year.
114,Nimbus Retail,certifications,This year Nimbus Retail achieved B-Corp style certification for its social and environmental performance.
26,Nimbus Retail,philanthropy,Nimbus Retail donated over one million dollars to community environmental education programs this year.
79,PureWell Cosmetics,sustainability_pledge_vague,"PureWell Cosmetics believes in building a better, greener future for generations to come."
138,Nimbus Retail,supply_chain,Nimbus Retail is expanding supplier transparency initiatives to trace materials back to their origin.
144,Trailhead Outdoors,supply_chain,Trailhead Outdoors is expanding supplier transparency initiatives to trace materials back to their origin.
59,BrightPath Foods,diversity_inclusion,Our leadership team at BrightPath Foods reflects a broad range of backgrounds and lived experiences.
129,GreenLeaf Corp,supply_chain,Our supply chain partners at GreenLeaf Corp undergo regular audits to verify ethical labor standards.
97,GreenLeaf Corp,certifications,GreenLeaf Corp products are now certified under leading global sustainability and fair-trade standards.
37,UrbanCraft Goods,philanthropy,"Through the UrbanCraft Goods Foundation, we support local charities focused on clean water access."
102,Cobalt Electronics,certifications,Cobalt Electronics products are now certified under leading global sustainability and fair-trade standards.
38,Cobalt Electronics,philanthropy,"Through the Cobalt Electronics Foundation, we support local charities focused on clean water access."
131,BrightPath Foods,supply_chain,Our supply chain partners at BrightPath Foods undergo regular audits to verify ethical labor standards.
135,PureWell Cosmetics,supply_chain,Our supply chain partners at PureWell Cosmetics undergo regular audits to verify ethical labor standards.
47,PureWell Cosmetics,philanthropy,PureWell Cosmetics employees volunteered over ten thousand hours to local sustainability initiatives in 2025.
33,GreenLeaf Corp,philanthropy,"Through the GreenLeaf Corp Foundation, we support local charities focused on clean water access."
96,Trailhead Outdoors,sustainability_pledge_vague,Trailhead Outdoors strives to minimize its environmental footprint through continuous innovation.
68,Solara Apparel,diversity_inclusion,Solara Apparel launched new mentorship programs to support underrepresented employees company-wide.
36,Solara Apparel,philanthropy,"Through the Solara Apparel Foundation, we support local charities focused on clean water access."
141,UrbanCraft Goods,supply_chain,UrbanCraft Goods is expanding supplier transparency initiatives to trace materials back to their origin.
95,PureWell Cosmetics,sustainability_pledge_vague,PureWell Cosmetics strives to minimize its environmental footprint through continuous innovation.
117,UrbanCraft Goods,certifications,This year UrbanCraft Goods achieved B-Corp style certification for its social and environmental performance.
119,PureWell Cosmetics,certifications,This year PureWell Cosmetics achieved B-Corp style certification for its social and environmental performance.
73,GreenLeaf Corp,sustainability_pledge_vague,"GreenLeaf Corp believes in building a better, greener future for generations to come."
12,Solara Apparel,carbon_neutrality_pledge,Solara Apparel has pledged to offset 100% of its shipping emissions through verified carbon credit programs.
84,Solara Apparel,sustainability_pledge_vague,"Sustainability is at the heart of everything Solara Apparel does, from sourcing to shipping."
65,GreenLeaf Corp,diversity_inclusion,GreenLeaf Corp launched new mentorship programs to support underrepresented employees company-wide.
45,UrbanCraft Goods,philanthropy,UrbanCraft Goods employees volunteered over ten thousand hours to local sustainability initiatives in 2025.
80,Trailhead Outdoors,sustainability_pledge_vague,"Trailhead Outdoors believes in building a better, greener future for generations to come."
66,Nimbus Retail,diversity_inclusion,Nimbus Retail launched new mentorship programs to support underrepresented employees company-wide.
19,BrightPath Foods,carbon_neutrality_pledge,Our roadmap at BrightPath Foods outlines a science-based target to cut greenhouse gas emissions by 50% this decade.
109,UrbanCraft Goods,certifications,UrbanCraft Goods has earned recognition from independent auditors for responsible sourcing practices.
81,GreenLeaf Corp,sustainability_pledge_vague,"Sustainability is at the heart of everything GreenLeaf Corp does, from sourcing to shipping."
142,Cobalt Electronics,supply_chain,Cobalt Electronics is expanding supplier transparency initiatives to trace materials back to their origin.
94,Cobalt Electronics,sustainability_pledge_vague,Cobalt Electronics strives to minimize its environmental footprint through continuous innovation.
10,Nimbus Retail,carbon_neutrality_pledge,Nimbus Retail has pledged to offset 100% of its shipping emissions through verified carbon credit programs.
40,Trailhead Outdoors,philanthropy,"Through the Trailhead Outdoors Foundation, we support local charities focused on clean water access."
13,UrbanCraft Goods,carbon_neutrality_pledge,UrbanCraft Goods has pledged to offset 100% of its shipping emissions through verified carbon credit programs.
16,Trailhead Outdoors,carbon_neutrality_pledge,Trailhead Outdoors has pledged to offset 100% of its shipping emissions through verified carbon credit programs.
92,Solara Apparel,sustainability_pledge_vague,Solara Apparel strives to minimize its environmental footprint through continuous innovation.
101,UrbanCraft Goods,certifications,UrbanCraft Goods products are now certified under leading global sustainability and fair-trade standards.
5,UrbanCraft Goods,carbon_neutrality_pledge,UrbanCraft Goods is committed to achieving net-zero carbon emissions by 2040 across our global operations.
