review_id,product,theme_true,review_text
262,shampoo bottle,price_of_ethical,Ethical shampoo bottle brands need to be more affordable for everyday consumers like me.
188,coffee brand,ethical_sourcing,"The coffee brand ingredients might come from unethical suppliers, hard to verify."
202,smartphone,recycling_biodegradable,This smartphone is fully recyclable and the company even offers a take-back program.
211,energy drink,recycling_biodegradable,"None of the energy drink materials seem recyclable, it will just end up in a landfill."
141,energy drink,carbon_footprint,No mention anywhere of the carbon footprint of producing this energy drink.
76,smartphone,labor_practices,No transparency about who makes this smartphone or under what working conditions.
317,backpack,corporate_transparency,Would love more transparency from this backpack brand about their environmental impact.
196,headphones,ethical_sourcing,I wish there was clearer sourcing information printed on the headphones label.
302,t-shirt,corporate_transparency,"They openly share supply chain data for the t-shirt, which builds a lot of trust."
100,laptop,greenwashing_skepticism,They slap a green leaf logo on the laptop but nothing about it is actually sustainable.
149,furniture set,carbon_footprint,"This furniture set company publishes its carbon emissions every year, very transparent."
231,skincare set,recycling_biodegradable,I tried to recycle the skincare set container but my local center won't accept it.
244,headphones,price_of_ethical,Sustainable options for this headphones are always so much more expensive than regular ones.
108,grocery brand,greenwashing_skepticism,I appreciate that the grocery brand brand backs its eco claims with third-party certification.
133,smartphone,carbon_footprint,Loved that this smartphone brand offsets carbon emissions from shipping.
315,coffee brand,corporate_transparency,Would love more transparency from this coffee brand brand about their environmental impact.
280,energy drink,price_of_ethical,Price shouldn't be a barrier to buying a socially responsible energy drink.
213,skincare set,recycling_biodegradable,"None of the skincare set materials seem recyclable, it will just end up in a landfill."
45,smartphone,labor_practices,"I read that workers making this smartphone are underpaid, I won't buy it again."
83,laptop,greenwashing_skepticism,This laptop brand claims to be eco-friendly but I think it's just greenwashing.
120,energy drink,greenwashing_skepticism,Marketing calls this energy drink 'green' but the ingredients list says otherwise.
279,laptop,price_of_ethical,Price shouldn't be a barrier to buying a socially responsible laptop.
216,skincare set,recycling_biodegradable,"None of the skincare set materials seem recyclable, it will just end up in a landfill."
4,energy drink,packaging_waste,"The energy drink came wrapped in so much plastic, it felt so wasteful and unnecessary."
55,smartphone,labor_practices,Glad to see this smartphone brand is fair-trade certified and pays workers fairly.
254,t-shirt,price_of_ethical,Willing to pay a bit more for the t-shirt because it's ethically made.
311,smartphone,corporate_transparency,This smartphone brand hides behind vague statements instead of real transparency.
189,skincare set,ethical_sourcing,"The skincare set ingredients might come from unethical suppliers, hard to verify."
287,headphones,corporate_transparency,"This headphones company publishes a detailed sustainability report every year, very transparent."
172,sneakers,ethical_sourcing,"Not sure where the raw materials for this sneakers even come from, no info given."
314,laptop,corporate_transparency,Would love more transparency from this laptop brand about their environmental impact.
138,headphones,carbon_footprint,No mention anywhere of the carbon footprint of producing this headphones.
306,laptop,corporate_transparency,This laptop brand hides behind vague statements instead of real transparency.
82,furniture set,greenwashing_skepticism,This furniture set brand claims to be eco-friendly but I think it's just greenwashing.
102,coffee brand,greenwashing_skepticism,They slap a green leaf logo on the coffee brand but nothing about it is actually sustainable.
75,handbag,labor_practices,No transparency about who makes this handbag or under what working conditions.
135,coffee brand,carbon_footprint,Loved that this coffee brand brand offsets carbon emissions from shipping.
271,grocery brand,price_of_ethical,"The eco-friendly version of this grocery brand costs almost double, not everyone can afford that."
324,grocery brand,animal_testing,Glad this grocery brand is certified cruelty-free and never tested on animals.
132,detergent,carbon_footprint,Loved that this detergent brand offsets carbon emissions from shipping.
197,skincare set,ethical_sourcing,I wish there was clearer sourcing information printed on the skincare set label.
321,energy drink,animal_testing,Glad this energy drink is certified cruelty-free and never tested on animals.
139,grocery brand,carbon_footprint,No mention anywhere of the carbon footprint of producing this grocery brand.
13,headphones,packaging_waste,I love that this headphones uses recyclable cardboard instead of plastic packaging.
229,detergent,recycling_biodegradable,I tried to recycle the detergent container but my local center won't accept it.
322,headphones,animal_testing,Glad this headphones is certified cruelty-free and never tested on animals.
44,jacket,labor_practices,"I read that workers making this jacket are underpaid, I won't buy it again."
288,skincare set,corporate_transparency,"This skincare set company publishes a detailed sustainability report every year, very transparent."
97,shampoo bottle,greenwashing_skepticism,They slap a green leaf logo on the shampoo bottle but nothing about it is actually sustainable.
331,jacket,animal_testing,"Not clear if this jacket brand tests on animals, wish it was labeled clearly."
22,laptop,packaging_waste,"Way too much single-use plastic packaging for a small laptop, really disappointed."
192,furniture set,ethical_sourcing,"The furniture set ingredients might come from unethical suppliers, hard to verify."
294,smartphone,corporate_transparency,I can't find any information about this smartphone company's social responsibility efforts.
289,backpack,corporate_transparency,I can't find any information about this backpack company's social responsibility efforts.
119,furniture set,greenwashing_skepticism,Marketing calls this furniture set 'green' but the ingredients list says otherwise.
19,sneakers,packaging_waste,"Way too much single-use plastic packaging for a small sneakers, really disappointed."
115,backpack,greenwashing_skepticism,Marketing calls this backpack 'green' but the ingredients list says otherwise.
255,energy drink,price_of_ethical,Willing to pay a bit more for the energy drink because it's ethically made.
320,shampoo bottle,corporate_transparency,Would love more transparency from this shampoo bottle brand about their environmental impact.
332,laptop,animal_testing,"Not clear if this laptop brand tests on animals, wish it was labeled clearly."
63,backpack,labor_practices,"There are rumors of poor factory conditions behind this backpack, very concerning."
148,headphones,carbon_footprint,"This headphones company publishes its carbon emissions every year, very transparent."
337,smartphone,animal_testing,Switched to this smartphone because it's vegan and cruelty-free certified.
169,backpack,ethical_sourcing,"Not sure where the raw materials for this backpack even come from, no info given."
220,furniture set,recycling_biodegradable,The furniture set packaging is biodegradable which is a nice environmentally friendly touch.
186,backpack,ethical_sourcing,"The backpack ingredients might come from unethical suppliers, hard to verify."
348,sneakers,animal_testing,Disappointed to learn this sneakers brand still tests on animals in some markets.
60,detergent,labor_practices,"There are rumors of poor factory conditions behind this detergent, very concerning."
87,handbag,greenwashing_skepticism,This handbag brand claims to be eco-friendly but I think it's just greenwashing.
222,handbag,recycling_biodegradable,The handbag packaging is biodegradable which is a nice environmentally friendly touch.
178,detergent,ethical_sourcing,This detergent brand sources materials responsibly and shows proof on their site.
37,detergent,packaging_waste,Why does a detergent need three layers of plastic wrap? Terrible for the environment.
301,sneakers,corporate_transparency,"They openly share supply chain data for the sneakers, which builds a lot of trust."
129,laptop,carbon_footprint,Loved that this laptop brand offsets carbon emissions from shipping.
84,detergent,greenwashing_skepticism,This detergent brand claims to be eco-friendly but I think it's just greenwashing.
341,handbag,animal_testing,Switched to this handbag because it's vegan and cruelty-free certified.
180,jacket,ethical_sourcing,This jacket brand sources materials responsibly and shows proof on their site.
347,t-shirt,animal_testing,Disappointed to learn this t-shirt brand still tests on animals in some markets.
23,skincare set,packaging_waste,"Way too much single-use plastic packaging for a small skincare set, really disappointed."
49,detergent,labor_practices,Glad to see this detergent brand is fair-trade certified and pays workers fairly.
263,shampoo bottle,price_of_ethical,Ethical shampoo bottle brands need to be more affordable for everyday consumers like me.
117,coffee brand,greenwashing_skepticism,Marketing calls this coffee brand 'green' but the ingredients list says otherwise.
17,jacket,packaging_waste,"Way too much single-use plastic packaging for a small jacket, really disappointed."
212,coffee brand,recycling_biodegradable,"None of the coffee brand materials seem recyclable, it will just end up in a landfill."
187,skincare set,ethical_sourcing,"The skincare set ingredients might come from unethical suppliers, hard to verify."
153,shampoo bottle,carbon_footprint,Shipping this shampoo bottle internationally seems terrible for emissions and climate.
251,headphones,price_of_ethical,Willing to pay a bit more for the headphones because it's ethically made.
240,sneakers,recycling_biodegradable,Great that this sneakers brand uses recycled materials in their products.
350,energy drink,animal_testing,Disappointed to learn this energy drink brand still tests on animals in some markets.
243,smartphone,price_of_ethical,Sustainable options for this smartphone are always so much more expensive than regular ones.
218,t-shirt,recycling_biodegradable,The t-shirt packaging is biodegradable which is a nice environmentally friendly touch.
193,energy drink,ethical_sourcing,I wish there was clearer sourcing information printed on the energy drink label.
107,t-shirt,greenwashing_skepticism,I appreciate that the t-shirt brand backs its eco claims with third-party certification.
16,grocery brand,packaging_waste,I love that this grocery brand uses recyclable cardboard instead of plastic packaging.
137,laptop,carbon_footprint,No mention anywhere of the carbon footprint of producing this laptop.
125,handbag,carbon_footprint,The handbag ships from overseas which must have a huge carbon footprint.
313,skincare set,corporate_transparency,Would love more transparency from this skincare set brand about their environmental impact.
43,energy drink,labor_practices,"I read that workers making this energy drink are underpaid, I won't buy it again."
199,coffee brand,ethical_sourcing,I wish there was clearer sourcing information printed on the coffee brand label.
9,energy drink,packaging_waste,I love that this energy drink uses recyclable cardboard instead of plastic packaging.
113,laptop,greenwashing_skepticism,Marketing calls this laptop 'green' but the ingredients list says otherwise.
47,shampoo bottle,labor_practices,"I read that workers making this shampoo bottle are underpaid, I won't buy it again."
303,energy drink,corporate_transparency,"They openly share supply chain data for the energy drink, which builds a lot of trust."
214,detergent,recycling_biodegradable,"None of the detergent materials seem recyclable, it will just end up in a landfill."
273,laptop,price_of_ethical,Price shouldn't be a barrier to buying a socially responsible laptop.
335,furniture set,animal_testing,"Not clear if this furniture set brand tests on animals, wish it was labeled clearly."
93,backpack,greenwashing_skepticism,Not convinced their 'sustainable' backpack claims are backed by any real proof.
226,laptop,recycling_biodegradable,I tried to recycle the laptop container but my local center won't accept it.
160,grocery brand,carbon_footprint,Shipping this grocery brand internationally seems terrible for emissions and climate.
104,headphones,greenwashing_skepticism,They slap a green leaf logo on the headphones but nothing about it is actually sustainable.
338,jacket,animal_testing,Switched to this jacket because it's vegan and cruelty-free certified.
327,laptop,animal_testing,Glad this laptop is certified cruelty-free and never tested on animals.
124,smartphone,carbon_footprint,The smartphone ships from overseas which must have a huge carbon footprint.
174,t-shirt,ethical_sourcing,"Not sure where the raw materials for this t-shirt even come from, no info given."
6,laptop,packaging_waste,"The laptop came wrapped in so much plastic, it felt so wasteful and unnecessary."
185,grocery brand,ethical_sourcing,"The grocery brand ingredients might come from unethical suppliers, hard to verify."
25,sneakers,packaging_waste,"The sneakers box was biodegradable and compostable, which I really appreciated."
74,headphones,labor_practices,No transparency about who makes this headphones or under what working conditions.
116,jacket,greenwashing_skepticism,Marketing calls this jacket 'green' but the ingredients list says otherwise.
259,detergent,price_of_ethical,Ethical detergent brands need to be more affordable for everyday consumers like me.
15,t-shirt,packaging_waste,I love that this t-shirt uses recyclable cardboard instead of plastic packaging.
66,headphones,labor_practices,"The company publishes factory audit reports for their headphones, that builds trust."
78,laptop,labor_practices,No transparency about who makes this laptop or under what working conditions.
352,detergent,animal_testing,Disappointed to learn this detergent brand still tests on animals in some markets.
224,skincare set,recycling_biodegradable,The skincare set packaging is biodegradable which is a nice environmentally friendly touch.
101,furniture set,greenwashing_skepticism,They slap a green leaf logo on the furniture set but nothing about it is actually sustainable.
182,t-shirt,ethical_sourcing,This t-shirt brand sources materials responsibly and shows proof on their site.
89,handbag,greenwashing_skepticism,Not convinced their 'sustainable' handbag claims are backed by any real proof.
310,handbag,corporate_transparency,This handbag brand hides behind vague statements instead of real transparency.
158,coffee brand,carbon_footprint,Shipping this coffee brand internationally seems terrible for emissions and climate.
156,skincare set,carbon_footprint,Shipping this skincare set internationally seems terrible for emissions and climate.
205,jacket,recycling_biodegradable,This jacket is fully recyclable and the company even offers a take-back program.
325,grocery brand,animal_testing,Glad this grocery brand is certified cruelty-free and never tested on animals.
67,jacket,labor_practices,"The company publishes factory audit reports for their jacket, that builds trust."
342,energy drink,animal_testing,Switched to this energy drink because it's vegan and cruelty-free certified.
333,t-shirt,animal_testing,"Not clear if this t-shirt brand tests on animals, wish it was labeled clearly."
173,handbag,ethical_sourcing,"Not sure where the raw materials for this handbag even come from, no info given."
145,backpack,carbon_footprint,"This backpack company publishes its carbon emissions every year, very transparent."
